product_id,product_name,category,brand,price,discount_pct,final_price,rating,num_reviews,delivery_time_min,city,seller,stock,sold_quantity,profit_margin_pct,is_organic,packaging_type,weight_g,shelf_life_days,reorder_level,demand_index,date_added,expiry_date,offer_type,delivery_status,revenue_inr,price_per_100g,weight_bucket,is_perishable,is_impulse_category,has_offer,is_small,impulse_score,basket_type,impulse_premium_pct,city_impulse_index
1,tata organic grocery 300,grocery,tata,199.78,25,149.84,4.5,146,37,bengaluru,urbanseller,76,241,29.8,True,can,750,212,15,73,2023-11-27,2024-06-26,no offer,on-time,36111.44,19.978666666666665,bulk,0,0,0,0,0.0,Planned,-76.04360292237986,0.9849458155674083
2,mother dairy lite dairy 275,dairy,mother dairy,44.32,30,31.02,4.0,264,36,jaipur,quickstores,122,28,15.2,False,jar,1000,17,24,25,2024-08-07,2024-08-24,no offer,delayed,868.56,3.102,bulk,1,1,0,0,0.5,Mixed,-88.61494604728541,1.0232433225584974
3,p&g classic personal 439,personal care,p&g,501.13,0,501.13,3.7,69,17,chennai,quickstores,126,583,6.6,True,jar,1000,1463,25,100,2024-03-03,2028-03-05,freedelivery,on-time,292158.79,50.113,bulk,0,0,1,0,0.2,Planned,-60.709480407755564,1.0102290037834531
4,dettol fresh household 771,household,dettol,627.17,0,627.17,3.9,103,23,delhi,urbanseller,92,33,36.8,True,bottle,200,1143,18,15,2024-08-07,2027-09-24,no offer,on-time,20696.609999999997,313.585,small,0,0,0,1,0.3,Planned,74.50207811801668,1.014797842636215
5,minute maid daily beverages 264,beverages,minute maid,101.69,15,86.44,4.3,422,10,pune,urbanseller,152,48,14.5,True,can,300,363,30,6,2024-07-04,2025-07-02,no offer,on-time,4149.12,28.813333333333333,mid,0,1,0,0,0.25,Planned,-26.362348244100957,0.9761729157615873
6,britannia premium snacks 284,snacks,britannia,250.33,5,237.81,4.4,451,14,delhi,quickstores,114,287,30.5,False,can,500,168,22,80,2025-08-29,2026-02-13,no offer,on-time,68251.47,47.562,mid,0,1,0,0,0.25,Planned,-7.789513200704808,1.014797842636215
7,britannia organic bakery 192,bakery,britannia,390.21,0,390.21,3.8,212,33,lucknow,localmart,99,44,16.4,False,can,750,7,19,12,2024-06-08,2024-06-15,freedelivery,on-time,17169.239999999998,52.028,bulk,1,1,1,0,0.7,Impulse,-39.27909725659739,0.9899610382622132
8,britannia premium bakery 931,bakery,britannia,370.21,10,333.19,4.2,37,34,bengaluru,urbanseller,96,94,22.3,False,can,200,8,19,34,2024-11-21,2024-11-29,flatdiscount,on-time,31319.86,166.595,small,1,1,1,1,1.0,Impulse,94.42989914156142,0.9849458155674083
9,surf excel classic household 748,household,surf excel,546.6,5,519.27,4.2,165,20,pune,urbanseller,101,119,31.4,False,bottle,1000,371,20,20,2024-07-23,2025-07-29,freedelivery,on-time,61793.13,51.927,bulk,0,0,1,0,0.2,Planned,-71.10394498960648,0.9761729157615873
10,aashirvaad fresh grocery 206,grocery,aashirvaad,129.82,0,129.82,3.8,410,24,bengaluru,localmart,138,57,11.5,True,can,500,680,27,22,2023-11-16,2025-09-26,no offer,on-time,7399.74,25.964,mid,0,0,0,0,0.0,Planned,-68.86659634994015,0.9849458155674083
11,harpic premium household 296,household,harpic,897.93,10,808.14,3.8,164,28,mumbai,sellera,124,198,12.8,True,can,250,627,24,51,2025-09-02,2027-05-22,no offer,on-time,160011.72,323.256,small,0,0,0,1,0.3,Planned,79.88374368709472,0.9848090911450436
12,lizol fresh household 602,household,lizol,163.87,5,155.68,4.1,247,29,kolkata,urbanseller,104,197,15.5,False,packet,1000,612,20,33,2024-07-07,2026-03-11,no offer,on-time,30668.960000000003,15.568000000000001,bulk,0,0,0,0,0.0,Planned,-91.33680389004166,0.9926416683821241
13,itc premium snacks 122,snacks,itc,92.6,0,92.6,4.2,385,39,delhi,sellerb,78,32,22.1,False,pouch,300,202,15,14,2025-09-12,2026-04-02,no offer,on-time,2963.2,30.866666666666664,mid,0,1,0,0,0.25,Planned,-40.15747110708314,1.014797842636215
14,britannia family pack bakery 876,bakery,britannia,493.11,0,493.11,4.8,124,31,kolkata,sellera,92,410,23.8,False,packet,750,9,18,100,2023-12-22,2023-12-31,flatdiscount,delayed,202175.1,65.748,bulk,1,1,1,0,0.7,Impulse,-23.266742646781825,0.9926416683821241
15,tata lite grocery 795,grocery,tata,63.34,20,50.67,3.7,196,26,mumbai,sellerb,94,201,12.9,False,bottle,750,367,18,43,2024-08-08,2025-08-10,no offer,delayed,10184.67,6.756,bulk,0,0,0,0,0.0,Planned,-91.89888788091956,0.9848090911450436
16,patanjali classic grocery 101,grocery,patanjali,329.68,0,329.68,3.7,560,44,lucknow,sellera,74,39,28.1,False,bottle,750,677,14,20,2025-03-03,2027-01-09,no offer,on-time,12857.52,43.95733333333333,bulk,0,0,0,0,0.0,Planned,-47.29081027396019,0.9899610382622132
17,mother dairy lite dairy 52,dairy,mother dairy,211.62,10,190.46,3.4,226,23,pune,dailyneeds,111,16,17.2,False,bottle,500,16,22,19,2024-06-06,2024-06-22,freedelivery,on-time,3047.36,38.092,mid,1,1,1,0,0.7,Impulse,39.806407210446125,0.9761729157615873
18,aavin premium dairy 101,dairy,aavin,192.45,20,153.96,4.3,396,32,ahmedabad,localmart,123,56,5.3,False,pouch,250,12,24,32,2024-01-06,2024-01-18,flatdiscount,on-time,8621.76,61.584,small,1,1,1,1,1.0,Impulse,126.02745410186166,1.0225348626452144
19,lay's classic snacks 961,snacks,lay's,39.43,15,33.52,5.0,390,29,kolkata,localmart,110,87,31.1,True,packet,500,193,22,26,2024-05-24,2024-12-03,flatdiscount,on-time,2916.2400000000002,6.704000000000001,mid,0,1,1,0,0.45,Mixed,-87.00266802273926,0.9926416683821241
20,lizol original household 737,household,lizol,667.15,20,533.72,4.6,172,33,pune,dailyneeds,96,76,27.1,True,pouch,1000,1637,19,28,2025-05-26,2029-11-18,freedelivery,on-time,40562.72,53.372,bulk,0,0,1,0,0.2,Planned,-70.2998392355668,0.9761729157615873
21,britannia original snacks 407,snacks,britannia,240.5,10,216.45,4.1,487,46,mumbai,sellerb,109,206,11.2,False,can,400,330,21,50,2023-11-05,2024-09-30,flatdiscount,on-time,44588.7,54.1125,mid,0,1,1,0,0.45,Mixed,4.910221751121927,0.9848090911450436
22,fortune organic grocery 168,grocery,fortune,471.42,25,353.56,4.1,476,34,mumbai,urbanseller,131,132,18.5,False,can,300,531,26,45,2024-05-23,2025-11-05,flatdiscount,delayed,46669.92,117.85333333333334,mid,0,0,1,0,0.2,Planned,41.317801500990626,0.9848090911450436
23,modern premium bakery 144,bakery,modern,428.55,5,407.12,4.3,368,16,hyderabad,quickstores,87,234,39.7,False,jar,400,4,17,51,2025-01-22,2025-01-26,flatdiscount,on-time,95266.08,101.78,mid,1,1,1,0,0.7,Impulse,18.78552858506031,1.0021408233089992
